,ONSConstID,AgeCat,ONSed,SexCat,Observation,Lab,Con,LD,Oth
1156,E14001079,3,2,1,87,21.897527102722695,9.604089362537694,5.471813728623112,7.348005457146715
1157,E14001079,3,2,2,120,31.493614583199307,15.276075196386172,6.99723529696213,10.648550522056578
1158,E14001079,4,0,1,135,18.720935494904587,0.08865871213797542,1.1563582406649435,8.324644695818785
1159,E14001079,4,0,2,205,31.37372833880784,0.1632552730907285,1.709651034096447,14.071194740706453
1160,E14001079,4,1,1,461,94.03515093898704,0.5706179846501643,8.849241033994504,55.29334449225092
1161,E14001079,4,1,2,495,108.54704762215053,0.7261214700045577,9.098263601948439,64.26053393782641
1162,E14001079,4,2,1,193,57.187081415427265,0.24944664659774024,6.0325067198255775,16.813371284565136
1163,E14001079,4,2,2,242,75.93486885399908,0.3656062824331271,7.150272074326576,22.53818759980481
1164,E14001079,5,0,1,230,15.638482253642149,0.10771407452346497,0.9903662266039605,19.744168218849993
1165,E14001079,5,0,2,371,28.153884844848797,0.20944243544472696,1.5740639301221702,35.76912189427406
1166,E14001079,5,1,1,753,77.68557886613868,0.7158056206467827,7.557034879490687,129.82277967160766
1167,E14001079,5,1,2,755,84.7573081448104,0.8497817393581018,7.33043264605266,142.42740542545928
1168,E14001079,5,2,1,710,132.40981160997467,0.8446838824387698,14.0204574723705,111.28163666802222
1169,E14001079,5,2,2,600,119.932957833054,0.8238793884390154,11.286761411663214,101.42048283875936
1170,E14001079,6,0,1,531,78.45459505327018,9.417493340403766,4.786771707692887,47.53798636398304
1171,E14001079,6,0,2,737,118.52702555968104,15.758617711110608,6.335060227674499,72.3779251868693
1172,E14001079,6,1,1,1309,262.097542134794,41.60856568400933,24.746091040277708,213.0021816603239
1173,E14001079,6,1,2,1327,281.26095634403697,49.36651019241426,23.481595762265787,230.17387453050566
1174,E14001079,6,2,1,1398,416.9360352396222,45.81570803429572,42.822750028784704,163.7710782769295
1175,E14001079,6,2,2,1126,351.1265991462721,42.71870851267165,31.803362824366307,138.9857089511104
1176,E14001079,7,0,1,654,84.0786531875917,8.311990400294691,3.7325422229167837,56.69454460729245
1177,E14001079,7,0,2,912,128.34758863158848,14.027507417394563,5.005551477256293,87.13588769760729
1178,E14001079,7,1,1,1206,218.8665997187745,28.663766722057677,15.040513026341069,198.01325667464806
1179,E14001079,7,1,2,1248,241.07505152713918,34.88045920526535,14.657809133378132,219.43406404389617
1180,E14001079,7,2,1,1401,395.6618036377517,36.04384993927261,30.099560184695076,173.35358555736588
1181,E14001079,7,2,2,1203,356.55777192014364,35.85584717935026,23.97943810616979,157.24673611833313
1182,E14001079,8,0,1,584,99.0778752260278,19.74009959624146,6.554339165464649,53.3103600437515
1183,E14001079,8,0,2,811,148.1992420182885,32.7238231071423,8.671349161406058,80.37933228706991
1184,E14001079,8,1,1,1081,236.73239337149593,62.79768643250043,24.344246811519906,171.4126145048014
1185,E14001079,8,1,2,1165,267.2725458664596,78.4073415878516,24.467674141663952,194.8863631796024
1186,E14001079,8,2,1,1419,445.52897126195546,81.40909824548467,49.77595527451027,155.21952168583013
1187,E14001079,8,2,2,1074,349.5823125236061,70.6192169837917,34.694273257315295,122.72632405031695
1188,E14001079,9,0,1,582,101.07818017621373,42.778970037607515,4.413378092211837,74.39034105607675
1189,E14001079,9,0,2,762,139.86149862307607,65.33388642455184,5.361411775125894,103.61744209952047
1190,E14001079,9,1,1,1091,225.3772936730265,126.58634089696606,15.619207001036232,222.93638736588784
1191,E14001079,9,1,2,1136,241.2673273541045,149.3291223481445,14.791787100001333,240.10002898292748
1192,E14001079,9,2,1,1266,384.56127598073147,149.7434869641426,29.231075309622025,183.26798791341764
1193,E14001079,9,2,2,1064,329.33820297407107,141.3065197842586,22.10904194322445,157.9002617149559
1194,E14001079,10,0,1,711,136.84798297133068,80.75444254464976,8.337061976671857,64.16478284491147
1195,E14001079,10,0,2,859,173.433795748094,112.92882237608111,9.331299712860435,81.85208503833115
1196,E14001079,10,1,1,1378,311.64601355997826,242.91030074411154,29.49566900456394,196.14187246417495
1197,E14001079,10,1,2,1128,260.4395142482805,223.69159437342566,21.901829597354745,164.90500955526022
1198,E14001079,10,2,1,1256,392.3215973333851,212.55194651903795,40.933699311112655,118.79936803252063
1199,E14001079,10,2,2,1212,384.0508675504636,229.34546552690827,35.54976171809092,116.93605750156478
1200,E14001079,11,0,1,1113,205.8423520042216,106.42313657906911,20.47347073806209,114.72734639002717
